object,correct_location,predicted_location,location_choices,correct_prediction
coffeemachine,kitchen,kitchen,"['most rooms', 'pantry', 'basket', 'kitchen', 'box']",True
coffeemaker,exercise room,pod,"['delivery room', 'pod', ""prostitute's bedroom"", 'sofa', 'exercise room']",False
coffeetable,living room,living room,"['truck', 'plate', 'living room', 'range', 'mansion']",True
coil,machine,utility room,"['utility room', 'machine', 'boot', 'washer', 'spoon']",False
coke,can,fridge,"['fridge', 'can', 'pot', 'shell', 'bag']",False
cola,fridge,fridge,"['sink', 'loft', 'home', ""men's restroom"", 'fridge']",True
collage,one of the classrooms,one of the classrooms,"['cruet', 'one of the classrooms', 'every bedroom', 'basket', 'bank']",True
colored wood blocks,bedroom,bedroom,"['bedroom', 'lamp', 'living rooms', 'bookshelf', 'boot']",True
column,table,home,"['head', 'numerous modern washrooms', 'home', 'table', 'chamber']",False
comb,hive,carton,"['cellar', 'kitchen', 'carton', 'larder', 'hive']",False
comfort,bed,bed,"['palace', 'quiver', 'bed', 'class room', 'range']",True
compass,cabinet,box,"['class room', 'orchestra', 'box', 'cabinet', 'bar']",False
compote,jar,hamper,"['case', 'jar', 'car', 'hamper', 'palace']",False
computer,table,table,"['master bedroom', 'butt', 'table', 'dumpster', 'bathroom and kitchen']",True
condiment,closet,larder,"['boot', 'attic', 'closet', 'jar', 'larder']",False
condom,bathroom,bathroom,"['dining room', 'table', 'beehive', 'bathroom', 'basket']",True
conserve,jar,jar,"['breadbox', 'jar', 'study', 'plate', 'class room']",True
container,car,house,"['house', 'car', 'trunk', 'engine', 'art classroom']",False
contraceptive,drawer,drawer,"['different room', 'bag', 'den', 'separate room', 'drawer']",True
cookbook,shelf,shelf,"['motorbike', 'garage', 'shelf', 'packet', 'bottle']",True
cookie,oven,storage room,"['storage room', 'washer', 'bookshelf', 'oven', 'jacket']",False
cooky,container,container,"['backpack', 'side of the room', 'container', 'barrel', 'class room']",True
cooler,kitchen,kitchen,"['grand ballroom', ""cash's room"", 'kitchen', 'wallet', 'different room']",True
copyholder,desk,desk,"['childs room', 'desk', 'loft', 'wardrobe', ""teenager's bedroom""]",True
cord,backpack,backpack,"['backpack', 'guest room', 'bathroom', 'one of the classrooms', 'package']",True
coronet,cabinet,cabinet,"['small room', 'bay', 'cabinet', 'tin', 'place']",True
cosmetic,drawer,drawer,"['quiver', 'home', 'home', 'drawer', 'boat']",True
couch,house,house,"['basket', 'truck', 'house', 'most rooms', 'shoe']",True
countertop,bathroom,bathroom,"['bathroom', 'wardrobe', 'packet', 'loft', 'playroom']",True
cracker,breadbox,breadbox,"['bright room', 'well', 'hive', 'most rooms', 'breadbox']",True
cracker box,closet,closet,"['music room', 'motorbike', 'closet', 'pitcher', 'bag']",True
crate,kitchen,chamber,"['chamber', 'kitchen', 'living rooms', 'playroom', 'tin']",False
crayon,utility room,none,"['orchestra', 'briefcase', 'kitchen or bathroom', 'larder', 'utility room']",False
creditcard,living room,briefcase,"['attic', 'briefcase', 'living room', 'sedan', 'quiver']",False
crisp,table,packet,"['table', 'cabinet', 'packet', 'parlor', 'bath']",False
crowbar,cabinet,cabinet,"['package', 'room', 'cabinet', 'class room', 'house']",True
cube storage box,lobby,lobby,"['lobby', 'freezer', 'kitchen or bathroom', 'dungeon', ' middle of the room']",True
cubicle,bank,room of the house,"['bank', 'livin room', 'bathtub', 'board', 'room of the house']",False
cup,kitchen,kitchen,"['family room', 'jacket', 'breadbox', 'kitchen', 'oven']",True
cupcake,oven,room,"['dresser', 'oven', 'guest room', 'room', 'card room']",False
curtain,living room,living room,"['laundry room', 'bowl', 'living room', 'jacket', 'range']",True
cushion,closet,every room,"['closet', 'briefcase', 'every room', 'study', 'freezer']",False
custard,refrigerator,refrigerator,"['refrigerator', 'bus', 'house', ""child's bedroom"", 'head']",True
cutlery,table,table,"['broom closet', 'card room', 'table', 'hospital drug storeroom', 'locker']",True
damper,attic,attic,"['head', ' middle of the room', 'microwave', 'dimly lit room', 'attic']",True
dashboard,car,car,"['storage room', 'larder', 'press', 'automobile', 'car']",True
decanter,bar,bar,"['lobby', 'court', 'bar', 'hall', 'hospital drug storeroom']",True
deck,backyard,cabinet,"['trap', 'suitcase', 'cabinet', 'backyard', 'one of the classrooms']",False
design,plate,storage room,"['machine', 'hall', 'storage room', 'plate', 'castle']",False
desk,bedroom,bedroom,"['desk', 'cabin', 'bedroom', 'hive', 'tin']",True
desk caddy,storage room,bright room,"['sack', 'master bedroom', 'microwave', 'bright room', 'storage room']",False
desklamp,living room,teenager's bedroom,"['parlor', ""teenager's bedroom"", 'one room flat', 'hospital drug storeroom', 'living room']",False
desktop,bedroom,bedroom,"['floor', 'cruet', 'hospital drug storeroom', 'bedroom', 'court']",True
dessert,refrigerator,refrigerator,"['bag', 'cubicle', 'hall', 'teapot', 'refrigerator']",True
diaper pack,exercise room,home,"['lamp', 'home', 'pantry', 'exercise room', 'library']",False
diary,desk,desk,"['kitchen or bathroom', 'foyer', 'floor', 'desk', ' middle of the room']",True
dictionary,table,table,"['table', 'larder', 'room of the house', 'quiver', 'cruet']",True
dietary supplement,living room,packet,"['living room', 'furniture', 'packet', 'bunk', 'board']",False
dime,purse,purse,"['vault', 'bathroom', 'pocket', 'box', 'purse']",True
diningtable,kitchen,kitchen,"['wallet', 'kitchen', 'master bedroom', 'packet', 'laundry room']",True
dinner,table,table,"['table', 'sack', 'room', 'television room', 'wallet']",True
dish,apartment,home,"['keg', 'pot', 'trap', 'home', 'apartment']",False
dish drainer,television room,television room,"['pan', 'case', 'television room', 'bunk', 'purse']",True
dishsponge,bathroom,bathroom,"['oven', 'court', 'jar', 'bathroom', 'study']",True
dishtowel,television room,sack,"['fridge', ""men's restroom"", 'sack', 'television room', 'family room']",False
dishwasher,kitchen,kitchen,"['kitchen', 'jar', 'dresser', 'pan', 'breadbox']",True
dispensing closure,bedroom,bathroom cabinet,"['bathroom cabinet', 'library', 'guest room', 'lamp', 'bedroom']",False
document,suitcase,case,"['backyard', 'art classroom', 'suitcase', 'every bedroom', 'case']",False
dog bowl,home office,den,"['den', 'home office', 'table', 'beehive', 'microwave']",False
dog chew toy,kitchen,locker,"['locker', 'kitchen', 'suitcase', 'fridge', 'pot']",False
dogbed,bedroom,bedroom,"['numerous modern washrooms', 'bedroom', 'card room', 'anor room', 'delivery room']",True
dollhouse toy,home office,home office,"['backpack', 'home office', 'toolbox', 'bath', 'truck']",True
donut,home office,jar,"['home office', 'hive', 'room of the house', 'backpack', 'jar']",False
door,room,room,"['room', 'bank', 'head', 'shoe', 'quiver']",True
doughnut,fridge,fridge,"['bathroom or kitchen', 'boat', 'machine', 'fridge', 'larder']",True
drawer,kitchen,kitchen,"['bathroom and kitchen', 'apartment', ""person's living room"", 'kitchen', 'bicycle']",True
dress,closet,closet,"['waiting room', 'bank', 'childs room', 'chamber', 'closet']",True
dresser,bedroom,bedroom,"['bundle', ""person's living room"", 'cellar', 'orchestra', 'bedroom']",True
dressing,refrigerator,refrigerator,"['safe', 'aquarium', 'laundry room', 'lounge', 'refrigerator']",True
drill,toolbox,toolbox,"['case', 'toolbox', 'truck', 'hatbox', 'small room']",True
drink,can,can,"['can', 'schoolroom', 'hive', 'garage', 'package']",True
drink coaster,garage,counter,"['garage', 'bookshelf', 'counter', ""teenager's bedroom"", 'shelf']",False
driveway,car,car,"['packet', 'bright room', 'closet', 'car', 'independent room']",True
drum,child's room,child's room,"['broom closet', ""child's room"", 'hospital drug storeroom', 'bathroom drawer', 'oven']",True
dryer,basement,basement,"['foyer', 'bath', 'dresser', 'bright room', 'basement']",True
duck,oven,lobby,"['lobby', 'sink', 'cruet', 'shoe', 'oven']",False
duct,attic,attic,"['bowl', 'case', 'backyard', 'attic', 'small room']",True
duct tape,childs room,ir rooms,"['suitcase', 'childs room', 'nest', ""prostitute's bedroom"", 'ir rooms']",False
dumbbell,bedroom,dormroom,"['den', 'garbage', 'bedroom', 'pan', 'dormroom']",False
dumbbell rack,television room,master bedroom,"['television room', 'tank', 'master bedroom', 'microwave', 'trunk']",False
dungeon,basement,mansion,"['can', 'basement', 'locker', 'motorbike', 'mansion']",False
dustbin,kitchen,kitchen,"['garage', 'bicycle', 'bar', 'dimly lit room', 'kitchen']",True
dustpan and brush,playroom,toolbox,"['toolbox', 'every bedroom', 'playroom', 'small room', 'tank']",False
dutch oven,pantry room,pantry room,"['bathroom drawer', 'side of the room', 'card room', 'pantry room', 'parlor']",True
duvet,living room,living room,"['garbage', 'stand', 'art classroom', 'living room', 'bowl']",True
easter basket,corridor,loungeroom,"['sedan', 'wardrobe', 'corridor', 'every bedroom', 'loungeroom']",False
edible,plate,kitchen,"['plate', 'dormroom', 'cup', 'kitchen', 'furniture']",False
egg,kitchen,kitchen,"['basket', 'orchestra', 'kitchen', 'pan', 'every bedroom']",True
eggplant,oven,oven,"['hive', 'chest', 'oven', 'cabin', 'bundle']",True
electric heater,home office,basement,"['machine', 'home office', 'suitcase', 'handbag', 'basement']",False
electric toothbrush,lobby,range,"['basement', 'lobby', 'range', 'class room', 'sack']",False
electronic adapter,playroom,backpack,"['playroom', 'packet', 'backpack', 'different room', ' middle of the room']",False
electronic cable,kitchen,classroom,"['mailbox', 'kitchen', 'classroom', 'tin', 'tin']",False
elevator,apartment,room of the house,"['apartment', 'music room', 'room of the house', 'furniture', 'loft']",False
emperor,hall,hatbox,"['bathroom', 'hatbox', 'basement', 'closet', 'hall']",False
encyclopedia,library,library,"['truck', 'cruet', 'wallet', 'library', 'bottle']",True
engraving,plate,plate,"['plate', 'pocket', 'one of the classrooms', 'deck', 'tank']",True
envelope,desk,desk,"['desk', 'wallet', 'tin', 'chest', ' middle of the room']",True
face moisturizer,kitchen,home,"['cat', 'kitchen', 'home', 'barrel', 'cradle']",False
faucet,bathroom,bathroom,"['bathroom', 'pocket', 'master bedroom', 'bike', ""men's restroom""]",True
fiberglass,boat,boat,"['home office', 'boat', 'laundry room', 'freezer', 'tin']",True
figurine,shelf,shelf,"['stove', 'shelf', 'nest', 'boat', 'garbage']",True
file sorter,childs room,counter,"[""child's room"", 'larder', 'counter', 'cabin', 'childs room']",False
film,cabinet,cabinet,"['bright room', 'dishwasher', 'bus', 'bathroom drawer', 'cabinet']",True
fingerpaint,bathroom,classroom,"['bathroom', 'guest room', 'shelf', 'cruet', 'classroom']",False
fire,basement,basement,"['vault', 'chest', 'basement', 'bike', 'family room']",True
firearm,cabinet,cabinet,"['closet', 'engine', 'parlor', 'cabinet', 'bookshelf']",True
fireplace,room,livingroom,"['room', 'livingroom', 'classroom', 'bank', 'keg']",False
fish,boat,boat,"['sack', 'jacket', 'boat', 'shelf', 'hall']",True
fitness tracker wristband,dining room,separate room,"['motel room', 'dining room', 'separate room', 'court', 'schoolroom']",False
flag,classroom,classroom,"['classroom', 'dwelling', 'bathroom and kitchen', 'bathroom or kitchen', 'cellar']",True
flashlight,utility room,utility room,"['boot', 'utility room', 'classroom', 'stove', 'stove']",True
flat screwdriver,utility room,utility room,"['car', 'sink', 'camp', 'beehive', 'utility room']",True
floor,kitchen,wardrobe,"['kitchen', 'stove', 'bathroom drawer', 'wardrobe', 'bathroom drawer']",False
floorlamp,living room,living room,"['living room', 'desk', 'anor room', 'guest room', 'mansion']",True
flour,pantry,pantry,"['library', 'living rooms', 'pantry', 'shaker', 'beehive']",True
foam brick,television room,person's living room,"['bowl', ""person's living room"", 'pot', 'television room', 'card room']",False
folder,garage,handbag,"['loft', 'handbag', 'engine', 'garage', 'purse']",False
fondant,bedroom,desk,"['bedroom', 'bicycle', 'pitcher', 'cradle', 'desk']",False
food,backpack,den,"['backpack', 'art classroom', 'den', 'stand', 'car']",False
foot,shoe,shoe,"['cabinet', 'master bedroom', 'pantry room', 'shoe', 'bank']",True
footstool,bathroom,room,"['bathroom', 'jar', 'icebox', 'room', 'pantry room']",False
foresail,boat,boat,"['dresser', 'anor room', 'dresser', 'boat', 'jacket']",True
fork,kitchen,kitchen,"['sack', 'kitchen', 'hive', 'pot', 'tea room']",True
form,cabinet,cabinet,"['cabinet', 'hotel room', 'cat', 'barrel', 'sink']",True
foundation,closet,closet,"['cellar', 'aquarium', ""children's room"", 'closet', 'pod']",True
foyer,apartment,apartment,"['shaker', 'apartment', 'teapot', ""men's restroom"", 'hive']",True
frame,bed,room,"['room', 'hall', 'jacket', 'bed', 'restroom']",False
freezer,kitchen,kitchen,"['kitchen', 'boat', 'restroom', 'stove', 'mailbox']",True
fridge,kitchen,kitchen,"['automobile', 'freezer', 'kitchen', 'way', 'motorbike']",True
frosting,jar,jar,"['jar', 'furniture', 'attic', 'den', 'storage room']",True
fruit,plate,plate,"['dishwasher', 'music room', 'plate', 'microwave', 'chamber']",True
fruit snack,playroom,cabinet,"['playroom', 'desk', 'cellar', 'cabinet', 'backpack']",False
fur,cat,cat,"['machine', 'loungeroom', 'cat', 'head', 'bathroom drawer']",True
furnace,basement,basement,"['lobby', 'jacket', 'broom closet', 'basement', 'lounge']",True
furniture,loft,one of the classrooms,"['loft', 'one of the classrooms', 'refrigerator', 'corridor', 'camp']",False
galley,boat,boat,"['toolbox', 'ambulance', 'bag', 'boat', 'independent room']",True
garage,house,house,"['bathroom and kitchen', 'childs room', 'exercise room', 'anor room', 'house']",True
garbage,dumpster,dumpster,"['dormroom', 'freezer', 'living rooms', 'dumpster', 'bag']",True
garbagebag,kitchen,every room,"['pan', 'kitchen', 'every room', 'vault', 'cubicle']",False
garbagecan,bedroom,house,"['handbag', 'house', 'bedroom', 'freezer', 'library']",False
garlic,kitchen,fridge,"['fridge', 'kitchen', 'parlor', 'different room', 'safe']",False
garment,suitcase,suitcase,"['purse', 'attic', 'basement', 'suitcase', 'bathroom']",True
garter,drawer,drawer,"['nest', 'lounge', 'board', 'room of the house', 'drawer']",True
gas,boat,floor,"['cabinet', 'boat', 'aquarium', 'small room', 'floor']",False
gate,garden,garden,"['bathroom cabinet', 'well', 'room of the house', 'cup', 'garden']",True
gauze,cabinet,cabinet,"['cubicle', 'cabinet', 'camp', 'pot', 'jar']",True
gear,car,car,"['car', 'bike', 'chest', 'hamper', 'wallet']",True
