task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
preparing a sliced apple,cut,compass saw,compass saw,"['compass saw', 'basketball', 'dogbed', 'dogbed', 'tap']",True
cutting an apple,cut,switchblade,switchblade,"['steel wool pad', 'hatchel', 'switchblade', 'ottoman', 'electric hammer']",True
opening an envelope,cut,blade,blade,"['bottle opener', 'cup', 'keychain', 'blade', 'diningtable']",True
applying butter,cut,twist bit,bolt cutter,"['shelvingunit', 'bolt cutter', 'surgical knife', 'twist bit', ""fireman's ax""]",False
serving cake,cut,cutter,kitchen knife,"['locking plier', 'candle', 'kitchen knife', 'cellphone', 'cutter']",False
decorating table,decorate,curtain,curtain,"['curtain', 'bender', 'spoon', 'tap wrench', 'showerglas']",True
decorating bed,decorate,room decor,room decor,"['room decor', 'sparkplug wrench', 'razorblade', ""carpenter's square"", 'dry battery']",True
decorating wall,decorate,teddy bear,pointing trowel,"['teddy bear', 'wood chisel', 'scoop', 'pointing trowel', 'cap opener']",False
decorating lobby,decorate,statue,statue,"['coping saw', 'butterknife', 'statue', 'dovetail plane', 'pen']",True
increasing beauty of the room,decorate,poster,poster,"['crown saw', 'spiral ratchet screwdriver', 'pitcher', 'plow', 'poster']",True
preparing vegetables,dice,dirk,razor,"['dining table', 'compass saw', 'dirk', 'spraybottle', 'razor']",False
creating garnishes,dice,steak knife,steak knife,"[""carpenter's square"", 'coffee', 'faucet', 'steak knife', 'rubber eraser']",True
making salsa,dice,machete,knife,"['kitchenknife', 'bandsaw', 'knife', 'lug wrench', 'machete']",False
measuring ingredients,dice,dagger,metal box,"['metal box', 'pipe cutter', 'dagger', 'parang', 'graver']",False
gardening,dig,ditch spade,ditch spade,"['kitchenknife', 'power drill', 'ditch spade', 'pot', 'floor']",True
preparing soil,dig,garden spade,garden spade,"['scauper', 'garden spade', 'latchstring', 'binder', 'desklamp']",True
finding buried treasures,dig,shovel,shovel,"['chain saw', 'file', 'bumper jack', 'pitcher', 'shovel']",True
showcasing decorations,display,calculator,roach clip,"['calculator', 'parang', 'set square', 'power tool', 'roach clip']",False
organizing collectibles,display,cell phone,cell phone,"['cell phone', 'ax', 'circular saw', 'houseplant', 'faucet']",True
presenting information,display,calculator,calculator,"['linoleum knife', 'toaster', 'knife blade', 'calculator', 'flat tip screwdriver']",True
throwing away uneaten food,dispose,sink basin,sink basin,"['case knife', 'sink basin', 'safe', 'cutting implement', 'plate']",True
cleaning spilled milk,dispose,sink basin,curtain,"['compass saw', 'round file', 'wateringcan', 'curtain', 'sink basin']",False
throwing away used soap bottle,dispose,sink basin,sink basin,"['sink basin', 'square', 'mallet', 'houseplant', 'steak knife']",True
throwing away toilet paper,dispose,garbage can,garbage can,"['garbage can', 'pitcher', 'backsaw', 'bur', 'awl']",True
hanging items on a wall,drill,drill,drill,"['drill', 'scauper', 'tap wrench', 'toothbrush', 'spatula']",True
assembling furniture,drill,star drill,bandsaw,"['chamfer bit', 'garden spade', 'bandsaw', 'star drill', 'cellphone']",False
installing fixtures,drill,router,router,"['compass saw', 'candle', 'plexor.n.wn.medicine', 'router', 'scrub plane']",True
drying washed dishes,dry,hand towel,hand towel,"['lettuce', 'cross bit', 'hand towel', 'hunting knife', 'power mower']",True
hanging cleaned laundry,dry,hand towel,hand towel,"['saw set', 'screwdriver', 'hand towel', 'gutter', 'catling']",True
drying up spilled liquids,dry,kleenex,kleenex,"['tennisracket', 'kleenex', 'butter knife', 'pruner', 'moldboard plow']",True
having a meal,eat,salt,salt,"['combination plane', 'salt', 'laptop', 'alligator wrench', 'router']",True
preparing food,eat,potato,crank,"['nailfile', 'dumbbell', 'crank', 'potato', 'creditcard']",False
being cooked,eat,bread,bread,"['hand mower', 'footstool', 'razor', 'bread', 'edge tool']",True
personalising items,engrave,scauper,awl,"['scauper', 'awl', 'rasp', 'jointer', 'bit']",False
creating decorative art,engrave,graver,graver,"['slick', 'ax', 'laundryhamper', 'graver', 'wine bottle']",True
labelling belongings,engrave,scauper,spraybottle,"['houseplant', 'pestle', 'spraybottle', 'drilling bit', 'scauper']",False
watching a movie,entertain,cell phone,cell phone,"['camera', 'room decor', 'cell phone', 'kirpan', 'clasp knife']",True
listening to a song,entertain,cell phone,cell phone,"['fore plane', 'pillow', 'screw key', 'clincher', 'cell phone']",True
surfing the internet,entertain,c d,c d,"['dogbed', 'coffee table', 'c d', 'cigar cutter', 'aluminum foil']",True
playing active games,exercise,basket ball,bread,"['pin wrench', 'shovel', 'twist bit', 'bread', 'basket ball']",False
exercising,exercise,tennis racket,tennis racket,"['adz', 'television', 'tennis racket', 'peppershaker', 'safe']",True
cleaning as a home workout,exercise,basket ball,scrub brush,"['clincher', 'scrub brush', 'basket ball', ""dentist's drill"", 'box']",False
organizing documents,file,taper file,taper file,"['taper file', 'safe', 'coffee mug', 'hunting knife', 'spray bottle']",True
cleaning fingernails,file,blunt file,bur,"['power saw', 'blunt file', 'winebottle', 'hack', 'bur']",False
smoothing surfaces,file,taper file,taper file,"['base ball bat', 'taper file', 'broadax', 'lawn mower', 'food jar']",True
repairing appliances,fix,crampon,o ring,"['rounder', 'bore bit', 'crampon', 'openside plane', 'o ring']",False
mending clothes,fix,razor,razor,"['counterbore', 'fork', 'razor', 'lancet', 'pruner']",True
patching walls,fix,stamp,buffer,"['room decor', 'bumper jack', 'stamp', 'ripsaw', 'buffer']",False
adjusting cables,flex,bender,bender,"['crosscut saw', 'window', 'crown saw', 'bender', 'coffee mug']",True
bending pipes,flex,bender,bender,"['tile cutter', 'glass cutter', 'bender', 'toothpaste', 'bodkin']",True
grinding surfaces,flex,bender,dovetail plane,"['spiral ratchet screwdriver', 'designedspade', 'bender', 'wine bottle', 'dovetail plane']",False
picking-up objects,grasp,carpenter's mallet,ravehook,"['wire cutter', 'ravehook', 'diningtable', 'gang', ""carpenter's mallet""]",False
opening jars,grasp,scauper,potato,"['hatchet', 'bolt cutter', 'scauper', 'core drill', 'potato']",False
carrying items,grasp,soldering iron,basketball,"['surgical knife', 'rock bit', 'basketball', 'ripping chisel', 'soldering iron']",False
placing objects down,grasp,sandblaster,scriber,"['scriber', 'burr', 'sandblaster', 'saber saw', 'maul']",False
preparing spices,grind,pestle,pestle,"['laundryhamper', 'pipe cutter', 'cap opener', 'kitchen knife', 'pestle']",True
making coffee powder,grind,pestle,pestle,"['instant noodle', 'signet', 'pincer', 'moldboard plow', 'pestle']",True
processing grains,grind,pestle,coffeemachine,"['pestle', 'cigar cutter', 'steel wool pad', 'coffeemachine', 'vase']",False
hanging a picture on a wall,hammer,tack hammer,tack hammer,"['tack hammer', 'torque wrench', 'power tool', 'butterknife', 'burin']",True
assembling furniture,hammer,triphammer,bore bit,"['bore bit', 'desk', 'corkscrew', 'pitchfork', 'triphammer']",False
removing old fixtures,hammer,scythe,chisel,"['chisel', 'ram', 'sponge', 'scythe', 'bread knife']",False
repairing items,hammer,carpenter's hammer,carpenter's hammer,"['tissuebox', 'tennisracket', ""carpenter's hammer"", 'firmer chisel', 'dresser']",True
hammering nails,hammer,carpenter's hammer,carpenter's hammer,"['chain wrench', 'buffer', 'statue', 'scrubbrush', ""carpenter's hammer""]",True
opening doors and cabinets,handle,two handed saw,tire iron,"['roach clip', 'rock bit', 'two handed saw', 'hand ax', 'tire iron']",False
carrying containers,handle,router,alligator wrench,"['dogbed', 'alligator wrench', 'router', 'punch', 'roomdecor']",False
using appliances,handle,drum sander,lawn mower,"['bath tub basin', 'lawn mower', 'drum sander', 'paper box', 'toiletpaperhanger']",False
heating coffee,heat,coffee machine,coffee machine,"['ripping chisel', 'bread', ""carpenter's square"", 'clincher', 'coffee machine']",True
cooking food,heat,stoveburner,stoveburner,"['dibble', 'stoveburner', ""plumber's snake"", 'apple', 'egg']",True
reheating soup,heat,microwave,microwave,"['microwave', 'paper towel roll', 'watch', 'die', 'bread']",True
boiling water,heat,coffee machine,coffee machine,"['toiletpaperhanger', 'drawknife', 'water bottle', 'head gasket', 'coffee machine']",True
melting envelope wax,heat,coffee machine,coffee machine,"['coffee machine', 'spade', 'sidetable', 'lancet', 'shampoo']",True
melting butter,heat,toaster,toaster,"['stemmer', 'shear', 'toaster', 'hook wrench', 'palette knife']",True
carrying items,hold,clipper,food box,"[""carpenter's hammer"", 'icepick', 'food box', 'clipper', 'ottoman']",False
using tools,hold,seal,penknife,"['core drill', 'penknife', 'box wrench', 'seal', 'breast drill']",False
stabilising objects,hold,rib joint plier,rib joint plier,"['food cup', 'bolo', 'abrading stone', 'rib joint plier', 'hatchel']",True
increasing brightness of the room,illuminate,lightbulb,lightbulb,"['lightbulb', 'coffee', 'plexor.n.wn.medicine', 'palette knife', 'hoe']",True
lighting up a room,illuminate,lightbulb,lightbulb,"['edger', 'lightbulb', 'posthole digger', 'winebottle', 'ripping chisel']",True
decreasing darkness,illuminate,curtain,curtain,"['portable saw', 'float', 'curtain', 'cap opener', 'bed']",True
hanging poster,increase,side table,curtain,"['side table', 'lawn mower', 'slicer', 'pipe wrench', 'curtain']",False
hanging painting,increase,counter top,tennis racket,"['bill', 'counter top', 'tennis racket', 'lightswitch', ""dentist's drill""]",False
cleaning shower head,increase,ottoman,butterknife,"['food can', 'ottoman', 'punch', 'snip', 'butterknife']",False
getting a book from a high shelf,increase,arm chair,arm chair,"['chisel', 'arm chair', 'soapbar', 'egg', 'reamer']",True
placing a very delicate artifact on a shelf,increase,stool,stool,"['compass saw', 'bullnose', 'slip joint plier', 'stool', 'edger']",True
fixing light bulb outside your house,increase,sofa,spiral ratchet screwdriver,"['pencil', 'spiral ratchet screwdriver', 'pitsaw', 'hob', 'sofa']",False
putting objects on high shelf,increase,desk,desk,"['kitchen knife', 'chisel', 'linoleum knife', 'desk', 'circular saw']",True
mounting fixtures,install,pruner,pruner,"['moldboard plow', 'basket ball', 'pruner', 'book', 'parang']",True
setting up appliances,install,two handed saw,rammer,"['cap', 'broad hatchet', 'floorlamp', 'two handed saw', 'rammer']",False
assembling furniture,install,coping saw,electric hammer,"['wine bottle', 'electric hammer', 'coping saw', 'tissuebox', 'gouge']",False
moving furniture,lift,pitchfork,shelving unit,"['laundry hamper', 'cd', 'shelving unit', 'pitchfork', 'pipe wrench']",False
carrying objects,lift,hayfork,hayfork,"['camera', 'hayfork', 'designedspade', 'kettle', 'rammer']",True
accessing high shelves,lift,hayfork,hayfork,"['scissors', 'towelholder', 'axe', 'moldboard plow', 'hayfork']",True
labeling items,mark,o ring,spray bottle,"['spray bottle', 'folding saw', 'o ring', 'shaping tool', 'lightbulb']",False
measuring distances,mark,signet,shelvingunit,"['shelvingunit', 'stemmer', 'sofa', 'hayfork', 'signet']",False
tracking events,mark,bradawl,bradawl,"['cuttingtool', 'pipe wrench', 'twist bit', 'ball peen hammer', 'bradawl']",True
melting butter,melt,soldering iron,soldering iron,"['catling', 'circular saw', 'bull tongue', 'cold chisel', 'soldering iron']",True
removing adhesives,melt,soldering iron,soldering iron,"['dirk', 'maul', 'soldering iron', 'bolo', 'broadax']",True
defrosting frozen food,melt,soldering iron,soldering iron,"['soldering iron', 'handstamp', 'graver', 'dresser', 'abrader']",True
mixing ingredients,mix,butter knife,butter knife,"['dresser', 'binder', 'guitar pick', 'butter knife', 'awl']",True
preparing drinks,mix,spoon,spoon,"['spoon', 'fridge', 'power saw', 'garden trowel', 'scriber']",True
combining cleaning solutions,mix,pestle,pestle,"['pestle', 'hoe', 'armchair', 'water bottle', 'soapbottle']",True
using appliances,operate,floorlamp,floorlamp,"['head gasket', 'shelving unit', 'floorlamp', 'ram', 'comb']",True
controlling devices,operate,handsaw,tap wrench,"['handsaw', 'stiletto', 'paper cutter', 'jointer', 'tap wrench']",False
handling tools,operate,compass saw,rake,"['compass saw', 'riding mower', 'rake', 'circular plane', 'ram']",False
removing skin from fruits and vegetables,peel,parer,parer,"['towelholder', 'plate', 'parer', 'seal', 'handstamp']",True
creating compost,peel,dirk,folding saw,"['c d', 'folding saw', 'drill', 'base ball bat', 'dirk']",False
making garnishes,peel,linoleum knife,linoleum knife,"['trowel', 'linoleum knife', 'dog bed', 'screw wrench', 'food bag']",True
harvesting produce,pick,garden rake,garden rake,"['garden rake', 'pot', 'moldboard plow', 'gangsaw', 'wrench']",True
sorting items,pick,bottle,notebook,"['bottle', 'coffee', 'notebook', 'watering can', 'cold chisel']",False
picking up items,pick,baseballbat,desklamp,"['seal', 'clipper', 'saw', 'desklamp', 'baseballbat']",False
creating a drainage,pierce,punch,broad hatchet,"['hand drill', 'hook wrench', 'broad hatchet', 'butcher knife', 'punch']",False
opening packages,pierce,bradawl,bradawl,"['broad hatchet', 'yataghan', 'bradawl', 'stillson wrench', 'spud']",True
making a small hole,pierce,bradawl,bradawl,"['bulldog wrench', 'rounder', 'handtowel', 'bradawl', 'keychain']",True
preparing food,pierce,punch plier,tray,"['battle ax', 'tray', 'desk', 'cd', 'punch plier']",False
clearing snow,plow,lister,lister,"['gangsaw', 'dado plane', 'beading plane', 'table knife', 'lister']",True
tilling soil,plow,bull tongue,bull tongue,"['openside plane', 'folding saw', 'drill', 'dining table', 'bull tongue']",True
breaking up compacted soil,plow,bull tongue,bull tongue,"['scauper', 'can opener', 'pincer', 'bull tongue', 'graver']",True
connecting appliances,plug,pneumatic drill,stillson wrench,"['pneumatic drill', 'stillson wrench', 'floorlamp', 'spreader', 'stemmer']",False
charging devices,plug,pneumatic drill,alarm clock,"['pneumatic drill', 'box', 'dagger', 'keychain', 'alarm clock']",False
plugging devices in,plug,bandsaw,light switch,"['corkscrew', 'bandsaw', 'beading plane', 'light switch', 'portable saw']",False
checking the readiness of food,poke,screwdriver,cigar cutter,"['soapbottle', 'dogbed', 'cigar cutter', 'screwdriver', 'pipe cutter']",False
creating a drainage,poke,screwdriver,air hammer,"['screwdriver', 'desktop', 'air hammer', 'toilet', 'apple']",False
pinning items on a wall,poke,phillips screwdriver,phillips screwdriver,"['box wrench', 'phillips screwdriver', 'pitsaw', 'chain saw', 'pitsaw']",True
polishing metal objects,polish,sandblaster,sandblaster,"['monkey wrench', 'bolt cutter', 'sandblaster', 'pitcher', 'tap wrench']",True
cleaning surfaces,polish,abrading stone,abrading stone,"['yataghan', 'abrading stone', 'shear', 'glue stick', 'power saw']",True
enhancing glass surfaces,polish,flat file,flat file,"['dresser', 'mug', 'stamp', 'flat file', 'folding saw']",True
maintaining floors,polish,rasp,rake,"['rasp', 'rake', 'upset', 'flashlight', 'jackscrew']",False
pouring liquids,pour,pitcher,pitcher,"['float', 'pitcher', 'flat tip screwdriver', 'spiral ratchet screwdriver', 'buffer']",True
preparing drinks,pour,pitcher,pitcher,"['punch plier', 'watering can', 'vacuum cleaner', 'pitcher', 'phillips screwdriver']",True
preparing cleaning solutions,pour,pitcher,pitcher,"['jack', 'poniard', 'fore plane', 'pitcher', 'poleax']",True
using appliances with a button,press,tamp,tamp,"['scrub brush', 'edger', 'tamp', 'pillow', 'knife blade']",True
ironing clothes,press,stemmer,cloth,"['toiletpaperhanger', 'bumper jack', 'stemmer', 'soapbottle', 'cloth']",False
operating gadgets,press,tamp,cutter,"['smooth plane', 'roomdecor', 'breadknife', 'cutter', 'tamp']",False
reading a good night story,read,desktop,armchair,"['desktop', 'dining table', 'armchair', 'pruning knife', 'wateringcan']",False
reading instructions,read,cell phone,cell phone,"['cell phone', 'garden spade', 'rock bit', 'electric drill', 'hedge trimmer']",True
keeping up to date,read,laptop,laptop,"['t square', 'laptop', 'watering can', 'latchstring', 'openside plane']",True
enjoying leisure time,read,desktop,desktop,"['food box', 'spokeshave', 'fork', 'desktop', 'handtowel']",True
fixing broken appliances,repair,chamfer plane,tap wrench,"['tap wrench', 'palette knife', 'adz', 'chamfer plane', 'rasp']",False
patching damages furniture,repair,chain saw,hammer,"['hammer', 'chain saw', 'toilet', 'center bit', 'toiletpaperhanger']",False
maintaining plumbing,repair,buffer,apple,"['buffer', 'wateringcan', 'rubber eraser', ""fireman's ax"", 'apple']",False
rolling out dough,roll,flashlight,beading plane,"['slouse', 'beading plane', 'flashlight', 'hedge trimmer', 'rasp']",False
painting walls,roll,food jar,spray bottle,"['counter top', 'curtain', 'mirror', 'food jar', 'spray bottle']",False
cleaning surfaces,rub,table knife,linoleum knife,"['pin wrench', 'table knife', 'linoleum knife', 'chain saw', 'kitchenknife']",False
polishing furniture,rub,fish knife,pruning knife,"['fish knife', 'drilling bit', 'pruning knife', 'pot', 'room decor']",False
removing stains,rub,tableknife,tableknife,"['hack', 'food can', 'electric drill', 'tableknife', 'keyhole saw']",True
cutting wood,saw,pruning saw,pruning saw,"['scraper', 'socket wrench', 'pruning saw', 'hammer', 'creditcard']",True
trimming branches,saw,folding saw,folding saw,"['gutter', 'window', 'folding saw', 'crosscut saw', 'sink']",True
sawing flooring planks,saw,pitsaw,folding saw,"['arm chair', 'dry battery', 'folding saw', 'showerglas', 'pitsaw']",False
serving ice cream,scoop,garden trowel,garden trowel,"['wateringcan', 'toaster', 'bath tub basin', 'lightswitch', 'garden trowel']",True
measuring ingredients,scoop,slick,scriber,"['hob', 'slick', 'scriber', 'jigsaw', 'lancet']",False
cleaning a litter box,scoop,trowel,trowel,"['spud', 'slick', 'sinkbasin', 'trowel', 'pointing trowel']",True
assembling furniture,screw,screwdriver,screwdriver,"['arm chair', 'screwdriver', 'secateur', 'garbage can', 'plastic box']",True
mounting hardware,screw,spiral ratchet screwdriver,spiral ratchet screwdriver,"['straightedge', 'chisel', 'poster', 'spiral ratchet screwdriver', 'stemmer']",True
screwing in screws,screw,phillips screwdriver,phillips screwdriver,"['guitar pick', 'phillips screwdriver', 'shaver', 'cap opener', 'drill']",True
repairing appliances,screw,spiral ratchet screwdriver,spiral ratchet screwdriver,"['spiral ratchet screwdriver', 'handtowelholder', 'tennisracket', 'book', 'coffee machine']",True
dividing food into portions,separate,broad hatchet,c d,"['c d', 'broad hatchet', 'garden trowel', 'desklamp', 'basketball']",False
cutting items in halve,separate,stiletto,stiletto,"['eolith', 'gouge', 'tack hammer', 'desk', 'stiletto']",True
changing an objects shape,shape,shaping tool,shaping tool,"['shaping tool', 'scauper', 'fridge', ""bricklayer's hammer"", 'graver']",True
removing skin from meat,skin,lochaber ax,c d,"['teddybear', 'garden spade', 'lochaber ax', 'coping saw', 'c d']",False
removing the peel from fruits and vegetables,skin,adz,reamer,"['adz', 'die', 'plunger', 'sofa', 'reamer']",False
removing unhealthy plant parts,skin,kitchen knife,kitchen knife,"['food bag', 'kitchen knife', 'bore bit', 'pallet', 'saw set']",True
opening packages,slit,blade,putty knife,"['star drill', 'power tool', 'blade', 'putty knife', 'hack']",False
creating ventilation,slit,knife blade,knife blade,"['knife blade', 'countertop', 'electric hammer', 'barong', 'trowel']",True
cutting open food objects,slit,blade,blade,"['broadax', 'alarmclock', 'blade', 'pen', 'armchair']",True
sanding surfaces,smoothen,steel wool pad,steel wool pad,"['thinning shear', 'steel wool pad', 'lochaber ax', 'screw wrench', 'pot']",True
ironing clothes,smoothen,abrading stone,coal shovel,"['coal shovel', 'dogbed', 'wood chisel', 'abrading stone', 'twist bit']",False
