task,affordance,correct_tool,predicted_tool,tool_choices,correct_prediction
throwing away uneaten food,dispose,sink basin,sink basin,"['case knife', 'plate', 'safe', 'cutting implement', 'sink basin']",True
cleaning spilled milk,dispose,sink basin,sink basin,"['sink basin', 'wateringcan', 'compass saw', 'round file', 'curtain']",True
throwing away used soap bottle,dispose,sink basin,sink basin,"['houseplant', 'square', 'steak knife', 'sink basin', 'mallet']",True
throwing away toilet paper,dispose,garbage can,garbage can,"['garbage can', 'bur', 'awl', 'pitcher', 'backsaw']",True
hanging items on a wall,drill,drill,drill,"['spatula', 'scauper', 'tap wrench', 'toothbrush', 'drill']",True
assembling furniture,drill,star drill,star drill,"['star drill', 'bandsaw', 'cellphone', 'chamfer bit', 'garden spade']",True
installing fixtures,drill,router,compass saw,"['scrub plane', 'router', 'compass saw', 'plexor.n.wn.medicine', 'candle']",False
drying washed dishes,dry,hand towel,hand towel,"['hand towel', 'hunting knife', 'lettuce', 'cross bit', 'power mower']",True
hanging cleaned laundry,dry,hand towel,gutter,"['catling', 'hand towel', 'screwdriver', 'gutter', 'saw set']",False
drying up spilled liquids,dry,kleenex,kleenex,"['kleenex', 'moldboard plow', 'pruner', 'butter knife', 'tennisracket']",True
having a meal,eat,salt,salt,"['alligator wrench', 'combination plane', 'salt', 'router', 'laptop']",True
preparing food,eat,potato,potato,"['dumbbell', 'potato', 'nailfile', 'creditcard', 'crank']",True
being cooked,eat,bread,bread,"['edge tool', 'razor', 'bread', 'hand mower', 'footstool']",True
personalising items,engrave,scauper,awl,"['awl', 'jointer', 'bit', 'rasp', 'scauper']",False
creating decorative art,engrave,graver,graver,"['laundryhamper', 'graver', 'wine bottle', 'slick', 'ax']",True
labelling belongings,engrave,scauper,none,"['scauper', 'pestle', 'houseplant', 'spraybottle', 'drilling bit']",False
watching a movie,entertain,cell phone,cell phone,"['kirpan', 'clasp knife', 'cell phone', 'camera', 'room decor']",True
listening to a song,entertain,cell phone,cell phone,"['cell phone', 'screw key', 'fore plane', 'clincher', 'pillow']",True
surfing the internet,entertain,c d,none,"['coffee table', 'dogbed', 'c d', 'cigar cutter', 'aluminum foil']",False
playing active games,exercise,basket ball,basket ball,"['pin wrench', 'twist bit', 'shovel', 'basket ball', 'bread']",True
exercising,exercise,tennis racket,tennis racket,"['adz', 'peppershaker', 'safe', 'tennis racket', 'television']",True
cleaning as a home workout,exercise,basket ball,scrub brush,"['scrub brush', 'basket ball', ""dentist's drill"", 'box', 'clincher']",False
organizing documents,file,taper file,taper file,"['spray bottle', 'safe', 'hunting knife', 'coffee mug', 'taper file']",True
cleaning fingernails,file,blunt file,blunt file,"['hack', 'bur', 'winebottle', 'blunt file', 'power saw']",True
smoothing surfaces,file,taper file,taper file,"['base ball bat', 'lawn mower', 'food jar', 'broadax', 'taper file']",True
repairing appliances,fix,crampon,o ring,"['bore bit', 'crampon', 'o ring', 'openside plane', 'rounder']",False
mending clothes,fix,razor,lancet,"['razor', 'fork', 'counterbore', 'lancet', 'pruner']",False
patching walls,fix,stamp,ripsaw,"['buffer', 'bumper jack', 'room decor', 'ripsaw', 'stamp']",False
adjusting cables,flex,bender,bender,"['crosscut saw', 'coffee mug', 'bender', 'crown saw', 'window']",True
bending pipes,flex,bender,bender,"['bodkin', 'toothpaste', 'bender', 'tile cutter', 'glass cutter']",True
grinding surfaces,flex,bender,dovetail plane,"['designedspade', 'spiral ratchet screwdriver', 'wine bottle', 'bender', 'dovetail plane']",False
picking-up objects,grasp,carpenter's mallet,none,"['ravehook', 'diningtable', ""carpenter's mallet"", 'gang', 'wire cutter']",False
opening jars,grasp,scauper,bolt cutter,"['scauper', 'potato', 'bolt cutter', 'hatchet', 'core drill']",False
carrying items,grasp,soldering iron,basketball,"['ripping chisel', 'basketball', 'soldering iron', 'rock bit', 'surgical knife']",False
placing objects down,grasp,sandblaster,maul,"['scriber', 'saber saw', 'burr', 'maul', 'sandblaster']",False
preparing spices,grind,pestle,pestle,"['cap opener', 'pestle', 'pipe cutter', 'laundryhamper', 'kitchen knife']",True
making coffee powder,grind,pestle,pestle,"['pestle', 'pincer', 'signet', 'instant noodle', 'moldboard plow']",True
processing grains,grind,pestle,pestle,"['vase', 'coffeemachine', 'pestle', 'cigar cutter', 'steel wool pad']",True
hanging a picture on a wall,hammer,tack hammer,tack hammer,"['butterknife', 'power tool', 'burin', 'torque wrench', 'tack hammer']",True
assembling furniture,hammer,triphammer,triphammer,"['triphammer', 'pitchfork', 'corkscrew', 'desk', 'bore bit']",True
removing old fixtures,hammer,scythe,chisel,"['scythe', 'ram', 'bread knife', 'sponge', 'chisel']",False
repairing items,hammer,carpenter's hammer,firmer chisel,"[""carpenter's hammer"", 'tissuebox', 'tennisracket', 'firmer chisel', 'dresser']",False
hammering nails,hammer,carpenter's hammer,carpenter's hammer,"['scrubbrush', 'buffer', 'statue', 'chain wrench', ""carpenter's hammer""]",True
opening doors and cabinets,handle,two handed saw,roach clip,"['tire iron', 'rock bit', 'roach clip', 'two handed saw', 'hand ax']",False
carrying containers,handle,router,alligator wrench,"['dogbed', 'alligator wrench', 'router', 'punch', 'roomdecor']",False
using appliances,handle,drum sander,drum sander,"['drum sander', 'lawn mower', 'bath tub basin', 'toiletpaperhanger', 'paper box']",True
heating coffee,heat,coffee machine,coffee machine,"['clincher', 'ripping chisel', 'coffee machine', 'bread', ""carpenter's square""]",True
cooking food,heat,stoveburner,stoveburner,"['dibble', 'egg', 'stoveburner', 'apple', ""plumber's snake""]",True
reheating soup,heat,microwave,microwave,"['bread', 'paper towel roll', 'die', 'watch', 'microwave']",True
boiling water,heat,coffee machine,coffee machine,"['drawknife', 'head gasket', 'toiletpaperhanger', 'coffee machine', 'water bottle']",True
melting envelope wax,heat,coffee machine,coffee machine,"['sidetable', 'lancet', 'shampoo', 'coffee machine', 'spade']",True
melting butter,heat,toaster,toaster,"['stemmer', 'palette knife', 'hook wrench', 'toaster', 'shear']",True
carrying items,hold,clipper,food box,"['clipper', 'icepick', 'ottoman', 'food box', ""carpenter's hammer""]",False
using tools,hold,seal,penknife,"['seal', 'box wrench', 'penknife', 'core drill', 'breast drill']",False
stabilising objects,hold,rib joint plier,rib joint plier,"['bolo', 'hatchel', 'abrading stone', 'food cup', 'rib joint plier']",True
increasing brightness of the room,illuminate,lightbulb,lightbulb,"['plexor.n.wn.medicine', 'palette knife', 'coffee', 'lightbulb', 'hoe']",True
lighting up a room,illuminate,lightbulb,lightbulb,"['winebottle', 'ripping chisel', 'posthole digger', 'lightbulb', 'edger']",True
decreasing darkness,illuminate,curtain,curtain,"['portable saw', 'bed', 'curtain', 'cap opener', 'float']",True
hanging poster,increase,side table,curtain,"['curtain', 'lawn mower', 'side table', 'slicer', 'pipe wrench']",False
hanging painting,increase,counter top,tennis racket,"['counter top', 'lightswitch', ""dentist's drill"", 'tennis racket', 'bill']",False
cleaning shower head,increase,ottoman,snip,"['ottoman', 'snip', 'punch', 'butterknife', 'food can']",False
getting a book from a high shelf,increase,arm chair,arm chair,"['egg', 'arm chair', 'reamer', 'chisel', 'soapbar']",True
placing a very delicate artifact on a shelf,increase,stool,stool,"['compass saw', 'stool', 'bullnose', 'slip joint plier', 'edger']",True
fixing light bulb outside your house,increase,sofa,spiral ratchet screwdriver,"['spiral ratchet screwdriver', 'sofa', 'hob', 'pitsaw', 'pencil']",False
putting objects on high shelf,increase,desk,desk,"['chisel', 'desk', 'linoleum knife', 'circular saw', 'kitchen knife']",True
mounting fixtures,install,pruner,parang,"['moldboard plow', 'basket ball', 'parang', 'pruner', 'book']",False
setting up appliances,install,two handed saw,rammer,"['two handed saw', 'broad hatchet', 'rammer', 'floorlamp', 'cap']",False
assembling furniture,install,coping saw,electric hammer,"['wine bottle', 'coping saw', 'tissuebox', 'electric hammer', 'gouge']",False
moving furniture,lift,pitchfork,pipe wrench,"['shelving unit', 'cd', 'pipe wrench', 'laundry hamper', 'pitchfork']",False
carrying objects,lift,hayfork,hayfork,"['hayfork', 'camera', 'designedspade', 'kettle', 'rammer']",True
accessing high shelves,lift,hayfork,hayfork,"['axe', 'towelholder', 'hayfork', 'moldboard plow', 'scissors']",True
labeling items,mark,o ring,shaping tool,"['lightbulb', 'shaping tool', 'spray bottle', 'folding saw', 'o ring']",False
measuring distances,mark,signet,signet,"['shelvingunit', 'sofa', 'signet', 'hayfork', 'stemmer']",True
tracking events,mark,bradawl,twist bit,"['bradawl', 'pipe wrench', 'ball peen hammer', 'twist bit', 'cuttingtool']",False
melting butter,melt,soldering iron,soldering iron,"['catling', 'circular saw', 'bull tongue', 'cold chisel', 'soldering iron']",True
removing adhesives,melt,soldering iron,soldering iron,"['maul', 'broadax', 'dirk', 'bolo', 'soldering iron']",True
defrosting frozen food,melt,soldering iron,soldering iron,"['abrader', 'graver', 'handstamp', 'dresser', 'soldering iron']",True
mixing ingredients,mix,butter knife,butter knife,"['dresser', 'guitar pick', 'butter knife', 'binder', 'awl']",True
preparing drinks,mix,spoon,fridge,"['fridge', 'garden trowel', 'power saw', 'scriber', 'spoon']",False
combining cleaning solutions,mix,pestle,soapbottle,"['pestle', 'soapbottle', 'hoe', 'water bottle', 'armchair']",False
using appliances,operate,floorlamp,ram,"['shelving unit', 'comb', 'floorlamp', 'ram', 'head gasket']",False
controlling devices,operate,handsaw,handsaw,"['stiletto', 'tap wrench', 'paper cutter', 'handsaw', 'jointer']",True
handling tools,operate,compass saw,ram,"['rake', 'riding mower', 'ram', 'circular plane', 'compass saw']",False
removing skin from fruits and vegetables,peel,parer,parer,"['seal', 'handstamp', 'plate', 'towelholder', 'parer']",True
creating compost,peel,dirk,folding saw,"['c d', 'drill', 'dirk', 'folding saw', 'base ball bat']",False
making garnishes,peel,linoleum knife,linoleum knife,"['food bag', 'screw wrench', 'linoleum knife', 'trowel', 'dog bed']",True
harvesting produce,pick,garden rake,garden rake,"['garden rake', 'gangsaw', 'pot', 'wrench', 'moldboard plow']",True
sorting items,pick,bottle,notebook,"['coffee', 'notebook', 'bottle', 'watering can', 'cold chisel']",False
picking up items,pick,baseballbat,clipper,"['baseballbat', 'clipper', 'seal', 'desklamp', 'saw']",False
creating a drainage,pierce,punch,broad hatchet,"['hook wrench', 'punch', 'butcher knife', 'broad hatchet', 'hand drill']",False
opening packages,pierce,bradawl,yataghan,"['yataghan', 'spud', 'broad hatchet', 'stillson wrench', 'bradawl']",False
making a small hole,pierce,bradawl,bradawl,"['rounder', 'bradawl', 'bulldog wrench', 'keychain', 'handtowel']",True
preparing food,pierce,punch plier,tray,"['tray', 'desk', 'battle ax', 'punch plier', 'cd']",False
clearing snow,plow,lister,gangsaw,"['gangsaw', 'dado plane', 'lister', 'beading plane', 'table knife']",False
tilling soil,plow,bull tongue,bull tongue,"['bull tongue', 'dining table', 'folding saw', 'drill', 'openside plane']",True
breaking up compacted soil,plow,bull tongue,scauper,"['bull tongue', 'pincer', 'can opener', 'scauper', 'graver']",False
connecting appliances,plug,pneumatic drill,stillson wrench,"['spreader', 'stemmer', 'floorlamp', 'stillson wrench', 'pneumatic drill']",False
charging devices,plug,pneumatic drill,box,"['alarm clock', 'box', 'keychain', 'dagger', 'pneumatic drill']",False
plugging devices in,plug,bandsaw,light switch,"['beading plane', 'light switch', 'bandsaw', 'portable saw', 'corkscrew']",False
checking the readiness of food,poke,screwdriver,screwdriver,"['dogbed', 'pipe cutter', 'cigar cutter', 'soapbottle', 'screwdriver']",True
creating a drainage,poke,screwdriver,screwdriver,"['screwdriver', 'air hammer', 'desktop', 'toilet', 'apple']",True
pinning items on a wall,poke,phillips screwdriver,phillips screwdriver,"['chain saw', 'box wrench', 'pitsaw', 'phillips screwdriver', 'pitsaw']",True
polishing metal objects,polish,sandblaster,sandblaster,"['monkey wrench', 'pitcher', 'bolt cutter', 'tap wrench', 'sandblaster']",True
cleaning surfaces,polish,abrading stone,abrading stone,"['glue stick', 'abrading stone', 'power saw', 'shear', 'yataghan']",True
enhancing glass surfaces,polish,flat file,flat file,"['folding saw', 'flat file', 'mug', 'dresser', 'stamp']",True
maintaining floors,polish,rasp,none,"['rake', 'upset', 'rasp', 'flashlight', 'jackscrew']",False
pouring liquids,pour,pitcher,pitcher,"['buffer', 'spiral ratchet screwdriver', 'flat tip screwdriver', 'pitcher', 'float']",True
preparing drinks,pour,pitcher,pitcher,"['pitcher', 'phillips screwdriver', 'punch plier', 'watering can', 'vacuum cleaner']",True
preparing cleaning solutions,pour,pitcher,pitcher,"['pitcher', 'poleax', 'poniard', 'jack', 'fore plane']",True
using appliances with a button,press,tamp,tamp,"['pillow', 'edger', 'scrub brush', 'tamp', 'knife blade']",True
ironing clothes,press,stemmer,cloth,"['toiletpaperhanger', 'soapbottle', 'bumper jack', 'cloth', 'stemmer']",False
operating gadgets,press,tamp,cutter,"['cutter', 'breadknife', 'roomdecor', 'smooth plane', 'tamp']",False
reading a good night story,read,desktop,armchair,"['desktop', 'armchair', 'wateringcan', 'dining table', 'pruning knife']",False
reading instructions,read,cell phone,cell phone,"['rock bit', 'hedge trimmer', 'garden spade', 'electric drill', 'cell phone']",True
keeping up to date,read,laptop,laptop,"['watering can', 'openside plane', 'laptop', 't square', 'latchstring']",True
enjoying leisure time,read,desktop,desktop,"['handtowel', 'fork', 'food box', 'spokeshave', 'desktop']",True
fixing broken appliances,repair,chamfer plane,tap wrench,"['tap wrench', 'adz', 'chamfer plane', 'rasp', 'palette knife']",False
patching damages furniture,repair,chain saw,hammer,"['toilet', 'hammer', 'toiletpaperhanger', 'chain saw', 'center bit']",False
maintaining plumbing,repair,buffer,wateringcan,"['rubber eraser', 'wateringcan', ""fireman's ax"", 'apple', 'buffer']",False
rolling out dough,roll,flashlight,rasp,"['slouse', 'beading plane', 'hedge trimmer', 'flashlight', 'rasp']",False
painting walls,roll,food jar,spray bottle,"['curtain', 'food jar', 'spray bottle', 'mirror', 'counter top']",False
cleaning surfaces,rub,table knife,linoleum knife,"['linoleum knife', 'chain saw', 'pin wrench', 'table knife', 'kitchenknife']",False
polishing furniture,rub,fish knife,pruning knife,"['room decor', 'fish knife', 'pruning knife', 'drilling bit', 'pot']",False
removing stains,rub,tableknife,hack,"['keyhole saw', 'electric drill', 'tableknife', 'food can', 'hack']",False
cutting wood,saw,pruning saw,pruning saw,"['hammer', 'creditcard', 'scraper', 'pruning saw', 'socket wrench']",True
trimming branches,saw,folding saw,crosscut saw,"['window', 'folding saw', 'gutter', 'crosscut saw', 'sink']",False
sawing flooring planks,saw,pitsaw,folding saw,"['arm chair', 'pitsaw', 'showerglas', 'folding saw', 'dry battery']",False
serving ice cream,scoop,garden trowel,wateringcan,"['lightswitch', 'bath tub basin', 'toaster', 'wateringcan', 'garden trowel']",False
measuring ingredients,scoop,slick,slick,"['slick', 'lancet', 'jigsaw', 'hob', 'scriber']",True
cleaning a litter box,scoop,trowel,trowel,"['pointing trowel', 'sinkbasin', 'slick', 'trowel', 'spud']",True
assembling furniture,screw,screwdriver,screwdriver,"['garbage can', 'secateur', 'arm chair', 'screwdriver', 'plastic box']",True
mounting hardware,screw,spiral ratchet screwdriver,spiral ratchet screwdriver,"['poster', 'chisel', 'straightedge', 'spiral ratchet screwdriver', 'stemmer']",True
screwing in screws,screw,phillips screwdriver,phillips screwdriver,"['phillips screwdriver', 'guitar pick', 'cap opener', 'drill', 'shaver']",True
repairing appliances,screw,spiral ratchet screwdriver,spiral ratchet screwdriver,"['coffee machine', 'book', 'tennisracket', 'spiral ratchet screwdriver', 'handtowelholder']",True
dividing food into portions,separate,broad hatchet,none,"['garden trowel', 'desklamp', 'c d', 'broad hatchet', 'basketball']",False
cutting items in halve,separate,stiletto,tack hammer,"['gouge', 'stiletto', 'desk', 'eolith', 'tack hammer']",False
changing an objects shape,shape,shaping tool,shaping tool,"['shaping tool', 'graver', 'scauper', ""bricklayer's hammer"", 'fridge']",True
removing skin from meat,skin,lochaber ax,coping saw,"['teddybear', 'lochaber ax', 'c d', 'coping saw', 'garden spade']",False
removing the peel from fruits and vegetables,skin,adz,reamer,"['sofa', 'reamer', 'plunger', 'adz', 'die']",False
removing unhealthy plant parts,skin,kitchen knife,kitchen knife,"['kitchen knife', 'pallet', 'bore bit', 'saw set', 'food bag']",True
opening packages,slit,blade,blade,"['hack', 'putty knife', 'star drill', 'blade', 'power tool']",True
creating ventilation,slit,knife blade,barong,"['electric hammer', 'countertop', 'trowel', 'barong', 'knife blade']",False
cutting open food objects,slit,blade,blade,"['alarmclock', 'armchair', 'blade', 'pen', 'broadax']",True
sanding surfaces,smoothen,steel wool pad,steel wool pad,"['lochaber ax', 'pot', 'steel wool pad', 'screw wrench', 'thinning shear']",True
ironing clothes,smoothen,abrading stone,abrading stone,"['wood chisel', 'coal shovel', 'dogbed', 'abrading stone', 'twist bit']",True
