Task,Affordance,Correct_Tool,Wrong_Tools
increasing beauty of the room,decorate,poster,"['plow', 'crown saw', 'spiral ratchet screwdriver', 'pitcher']"
preparing vegetables,dice,dirk,"['spraybottle', 'dining table', 'razor', 'compass saw']"
creating garnishes,dice,steak knife,"['rubber eraser', ""carpenter's square"", 'faucet', 'coffee']"
making salsa,dice,machete,"['lug wrench', 'kitchenknife', 'knife', 'bandsaw']"
measuring ingredients,dice,dagger,"['pipe cutter', 'metal box', 'parang', 'graver']"
gardening,dig,ditch spade,"['pot', 'power drill', 'floor', 'kitchenknife']"
preparing soil,dig,garden spade,"['latchstring', 'desklamp', 'binder', 'scauper']"
finding buried treasures,dig,shovel,"['file', 'bumper jack', 'pitcher', 'chain saw']"
showcasing decorations,display,calculator,"['roach clip', 'power tool', 'set square', 'parang']"
organizing collectibles,display,cell phone,"['ax', 'faucet', 'houseplant', 'circular saw']"
presenting information,display,calculator,"['flat tip screwdriver', 'linoleum knife', 'knife blade', 'toaster']"
throwing away uneaten food,dispose,sink basin,"['safe', 'plate', 'cutting implement', 'case knife']"
cleaning spilled milk,dispose,sink basin,"['curtain', 'round file', 'compass saw', 'wateringcan']"
throwing away used soap bottle,dispose,sink basin,"['steak knife', 'square', 'houseplant', 'mallet']"
throwing away toilet paper,dispose,garbage can,"['bur', 'awl', 'backsaw', 'pitcher']"
hanging items on a wall,drill,drill,"['spatula', 'toothbrush', 'tap wrench', 'scauper']"
assembling furniture,drill,star drill,"['chamfer bit', 'cellphone', 'bandsaw', 'garden spade']"
installing fixtures,drill,router,"['candle', 'compass saw', 'plexor.n.wn.medicine', 'scrub plane']"
drying washed dishes,dry,hand towel,"['cross bit', 'hunting knife', 'lettuce', 'power mower']"
hanging cleaned laundry,dry,hand towel,"['gutter', 'catling', 'saw set', 'screwdriver']"
drying up spilled liquids,dry,kleenex,"['moldboard plow', 'pruner', 'butter knife', 'tennisracket']"
having a meal,eat,salt,"['combination plane', 'router', 'alligator wrench', 'laptop']"
preparing food,eat,potato,"['crank', 'creditcard', 'dumbbell', 'nailfile']"
being cooked,eat,bread,"['footstool', 'hand mower', 'razor', 'edge tool']"
personalising items,engrave,scauper,"['bit', 'awl', 'rasp', 'jointer']"
creating decorative art,engrave,graver,"['slick', 'laundryhamper', 'ax', 'wine bottle']"
labelling belongings,engrave,scauper,"['drilling bit', 'spraybottle', 'houseplant', 'pestle']"
watching a movie,entertain,cell phone,"['clasp knife', 'kirpan', 'camera', 'room decor']"
listening to a song,entertain,cell phone,"['fore plane', 'screw key', 'clincher', 'pillow']"
surfing the internet,entertain,c d,"['cigar cutter', 'aluminum foil', 'dogbed', 'coffee table']"
playing active games,exercise,basket ball,"['pin wrench', 'twist bit', 'bread', 'shovel']"
exercising,exercise,tennis racket,"['television', 'peppershaker', 'safe', 'adz']"
cleaning as a home workout,exercise,basket ball,"['scrub brush', ""dentist's drill"", 'box', 'clincher']"
organizing documents,file,taper file,"['spray bottle', 'coffee mug', 'safe', 'hunting knife']"
cleaning fingernails,file,blunt file,"['bur', 'power saw', 'hack', 'winebottle']"
smoothing surfaces,file,taper file,"['base ball bat', 'broadax', 'food jar', 'lawn mower']"
repairing appliances,fix,crampon,"['openside plane', 'bore bit', 'o ring', 'rounder']"
mending clothes,fix,razor,"['fork', 'lancet', 'counterbore', 'pruner']"
patching walls,fix,stamp,"['room decor', 'bumper jack', 'buffer', 'ripsaw']"
adjusting cables,flex,bender,"['crown saw', 'coffee mug', 'crosscut saw', 'window']"
bending pipes,flex,bender,"['toothpaste', 'tile cutter', 'bodkin', 'glass cutter']"
grinding surfaces,flex,bender,"['spiral ratchet screwdriver', 'dovetail plane', 'wine bottle', 'designedspade']"
picking-up objects,grasp,carpenter's mallet,"['gang', 'diningtable', 'ravehook', 'wire cutter']"
opening jars,grasp,scauper,"['bolt cutter', 'potato', 'core drill', 'hatchet']"
carrying items,grasp,soldering iron,"['rock bit', 'ripping chisel', 'basketball', 'surgical knife']"
placing objects down,grasp,sandblaster,"['scriber', 'saber saw', 'maul', 'burr']"
preparing spices,grind,pestle,"['laundryhamper', 'pipe cutter', 'kitchen knife', 'cap opener']"
making coffee powder,grind,pestle,"['signet', 'pincer', 'moldboard plow', 'instant noodle']"
processing grains,grind,pestle,"['coffeemachine', 'cigar cutter', 'steel wool pad', 'vase']"
hanging a picture on a wall,hammer,tack hammer,"['torque wrench', 'butterknife', 'burin', 'power tool']"
assembling furniture,hammer,triphammer,"['bore bit', 'desk', 'pitchfork', 'corkscrew']"
removing old fixtures,hammer,scythe,"['sponge', 'ram', 'bread knife', 'chisel']"
repairing items,hammer,carpenter's hammer,"['tennisracket', 'firmer chisel', 'tissuebox', 'dresser']"
hammering nails,hammer,carpenter's hammer,"['chain wrench', 'scrubbrush', 'statue', 'buffer']"
opening doors and cabinets,handle,two handed saw,"['rock bit', 'tire iron', 'roach clip', 'hand ax']"
carrying containers,handle,router,"['alligator wrench', 'roomdecor', 'punch', 'dogbed']"
using appliances,handle,drum sander,"['lawn mower', 'toiletpaperhanger', 'paper box', 'bath tub basin']"
heating coffee,heat,coffee machine,"['clincher', 'ripping chisel', 'bread', ""carpenter's square""]"
cooking food,heat,stoveburner,"['dibble', 'apple', 'egg', ""plumber's snake""]"
reheating soup,heat,microwave,"['paper towel roll', 'die', 'bread', 'watch']"
boiling water,heat,coffee machine,"['drawknife', 'water bottle', 'head gasket', 'toiletpaperhanger']"
melting envelope wax,heat,coffee machine,"['shampoo', 'spade', 'lancet', 'sidetable']"
melting butter,heat,toaster,"['stemmer', 'palette knife', 'hook wrench', 'shear']"
carrying items,hold,clipper,"[""carpenter's hammer"", 'food box', 'icepick', 'ottoman']"
using tools,hold,seal,"['breast drill', 'core drill', 'box wrench', 'penknife']"
stabilising objects,hold,rib joint plier,"['abrading stone', 'food cup', 'hatchel', 'bolo']"
increasing brightness of the room,illuminate,lightbulb,"['hoe', 'plexor.n.wn.medicine', 'palette knife', 'coffee']"
lighting up a room,illuminate,lightbulb,"['winebottle', 'posthole digger', 'ripping chisel', 'edger']"
decreasing darkness,illuminate,curtain,"['portable saw', 'float', 'bed', 'cap opener']"
hanging poster,increase,side table,"['slicer', 'curtain', 'lawn mower', 'pipe wrench']"
hanging painting,increase,counter top,"['tennis racket', 'bill', 'lightswitch', ""dentist's drill""]"
cleaning shower head,increase,ottoman,"['snip', 'punch', 'butterknife', 'food can']"
getting a book from a high shelf,increase,arm chair,"['chisel', 'egg', 'soapbar', 'reamer']"
placing a very delicate artifact on a shelf,increase,stool,"['bullnose', 'edger', 'compass saw', 'slip joint plier']"
fixing light bulb outside your house,increase,sofa,"['hob', 'spiral ratchet screwdriver', 'pencil', 'pitsaw']"
putting objects on high shelf,increase,desk,"['kitchen knife', 'chisel', 'circular saw', 'linoleum knife']"
mounting fixtures,install,pruner,"['book', 'moldboard plow', 'basket ball', 'parang']"
setting up appliances,install,two handed saw,"['broad hatchet', 'rammer', 'floorlamp', 'cap']"
assembling furniture,install,coping saw,"['tissuebox', 'gouge', 'electric hammer', 'wine bottle']"
moving furniture,lift,pitchfork,"['cd', 'pipe wrench', 'laundry hamper', 'shelving unit']"
carrying objects,lift,hayfork,"['rammer', 'designedspade', 'kettle', 'camera']"
accessing high shelves,lift,hayfork,"['scissors', 'axe', 'moldboard plow', 'towelholder']"
labeling items,mark,o ring,"['lightbulb', 'folding saw', 'spray bottle', 'shaping tool']"
measuring distances,mark,signet,"['hayfork', 'stemmer', 'sofa', 'shelvingunit']"
tracking events,mark,bradawl,"['twist bit', 'pipe wrench', 'cuttingtool', 'ball peen hammer']"
melting butter,melt,soldering iron,"['catling', 'cold chisel', 'bull tongue', 'circular saw']"
removing adhesives,melt,soldering iron,"['dirk', 'bolo', 'broadax', 'maul']"
defrosting frozen food,melt,soldering iron,"['dresser', 'abrader', 'graver', 'handstamp']"
mixing ingredients,mix,butter knife,"['binder', 'awl', 'dresser', 'guitar pick']"
preparing drinks,mix,spoon,"['garden trowel', 'fridge', 'scriber', 'power saw']"
combining cleaning solutions,mix,pestle,"['hoe', 'soapbottle', 'armchair', 'water bottle']"
using appliances,operate,floorlamp,"['shelving unit', 'comb', 'ram', 'head gasket']"
controlling devices,operate,handsaw,"['tap wrench', 'jointer', 'paper cutter', 'stiletto']"
handling tools,operate,compass saw,"['ram', 'riding mower', 'circular plane', 'rake']"
removing skin from fruits and vegetables,peel,parer,"['seal', 'plate', 'handstamp', 'towelholder']"
creating compost,peel,dirk,"['drill', 'folding saw', 'c d', 'base ball bat']"
making garnishes,peel,linoleum knife,"['screw wrench', 'food bag', 'trowel', 'dog bed']"
harvesting produce,pick,garden rake,"['gangsaw', 'moldboard plow', 'pot', 'wrench']"
sorting items,pick,bottle,"['coffee', 'notebook', 'cold chisel', 'watering can']"
picking up items,pick,baseballbat,"['clipper', 'seal', 'saw', 'desklamp']"
creating a drainage,pierce,punch,"['hand drill', 'butcher knife', 'broad hatchet', 'hook wrench']"
opening packages,pierce,bradawl,"['stillson wrench', 'yataghan', 'spud', 'broad hatchet']"
making a small hole,pierce,bradawl,"['handtowel', 'rounder', 'bulldog wrench', 'keychain']"
preparing food,pierce,punch plier,"['desk', 'tray', 'battle ax', 'cd']"
clearing snow,plow,lister,"['dado plane', 'beading plane', 'table knife', 'gangsaw']"
tilling soil,plow,bull tongue,"['folding saw', 'openside plane', 'drill', 'dining table']"
breaking up compacted soil,plow,bull tongue,"['scauper', 'graver', 'pincer', 'can opener']"
connecting appliances,plug,pneumatic drill,"['spreader', 'stillson wrench', 'floorlamp', 'stemmer']"
charging devices,plug,pneumatic drill,"['keychain', 'box', 'alarm clock', 'dagger']"
plugging devices in,plug,bandsaw,"['portable saw', 'corkscrew', 'beading plane', 'light switch']"
checking the readiness of food,poke,screwdriver,"['cigar cutter', 'pipe cutter', 'dogbed', 'soapbottle']"
creating a drainage,poke,screwdriver,"['air hammer', 'desktop', 'toilet', 'apple']"
pinning items on a wall,poke,phillips screwdriver,"['pitsaw', 'pitsaw', 'box wrench', 'chain saw']"
polishing metal objects,polish,sandblaster,"['monkey wrench', 'pitcher', 'bolt cutter', 'tap wrench']"
cleaning surfaces,polish,abrading stone,"['power saw', 'shear', 'yataghan', 'glue stick']"
enhancing glass surfaces,polish,flat file,"['stamp', 'dresser', 'mug', 'folding saw']"
maintaining floors,polish,rasp,"['upset', 'rake', 'jackscrew', 'flashlight']"
pouring liquids,pour,pitcher,"['float', 'buffer', 'spiral ratchet screwdriver', 'flat tip screwdriver']"
preparing drinks,pour,pitcher,"['phillips screwdriver', 'punch plier', 'watering can', 'vacuum cleaner']"
preparing cleaning solutions,pour,pitcher,"['poniard', 'poleax', 'jack', 'fore plane']"
using appliances with a button,press,tamp,"['scrub brush', 'edger', 'knife blade', 'pillow']"
ironing clothes,press,stemmer,"['cloth', 'soapbottle', 'bumper jack', 'toiletpaperhanger']"
operating gadgets,press,tamp,"['roomdecor', 'smooth plane', 'cutter', 'breadknife']"
reading a good night story,read,desktop,"['wateringcan', 'pruning knife', 'dining table', 'armchair']"
reading instructions,read,cell phone,"['electric drill', 'hedge trimmer', 'garden spade', 'rock bit']"
keeping up to date,read,laptop,"['latchstring', 'watering can', 'openside plane', 't square']"
enjoying leisure time,read,desktop,"['handtowel', 'spokeshave', 'food box', 'fork']"
fixing broken appliances,repair,chamfer plane,"['palette knife', 'tap wrench', 'adz', 'rasp']"
patching damages furniture,repair,chain saw,"['hammer', 'toilet', 'toiletpaperhanger', 'center bit']"
maintaining plumbing,repair,buffer,"[""fireman's ax"", 'apple', 'rubber eraser', 'wateringcan']"
rolling out dough,roll,flashlight,"['beading plane', 'hedge trimmer', 'rasp', 'slouse']"
painting walls,roll,food jar,"['mirror', 'spray bottle', 'counter top', 'curtain']"
cleaning surfaces,rub,table knife,"['pin wrench', 'kitchenknife', 'linoleum knife', 'chain saw']"
polishing furniture,rub,fish knife,"['pruning knife', 'drilling bit', 'room decor', 'pot']"
removing stains,rub,tableknife,"['keyhole saw', 'electric drill', 'food can', 'hack']"
cutting wood,saw,pruning saw,"['scraper', 'creditcard', 'hammer', 'socket wrench']"
trimming branches,saw,folding saw,"['crosscut saw', 'sink', 'window', 'gutter']"
sawing flooring planks,saw,pitsaw,"['dry battery', 'showerglas', 'folding saw', 'arm chair']"
serving ice cream,scoop,garden trowel,"['lightswitch', 'bath tub basin', 'toaster', 'wateringcan']"
measuring ingredients,scoop,slick,"['lancet', 'hob', 'scriber', 'jigsaw']"
cleaning a litter box,scoop,trowel,"['slick', 'pointing trowel', 'sinkbasin', 'spud']"
assembling furniture,screw,screwdriver,"['plastic box', 'secateur', 'arm chair', 'garbage can']"
mounting hardware,screw,spiral ratchet screwdriver,"['stemmer', 'chisel', 'straightedge', 'poster']"
screwing in screws,screw,phillips screwdriver,"['drill', 'guitar pick', 'cap opener', 'shaver']"
repairing appliances,screw,spiral ratchet screwdriver,"['handtowelholder', 'book', 'tennisracket', 'coffee machine']"
dividing food into portions,separate,broad hatchet,"['desklamp', 'garden trowel', 'basketball', 'c d']"
cutting items in halve,separate,stiletto,"['tack hammer', 'gouge', 'eolith', 'desk']"
changing an objects shape,shape,shaping tool,"['scauper', 'graver', 'fridge', ""bricklayer's hammer""]"
removing skin from meat,skin,lochaber ax,"['garden spade', 'teddybear', 'c d', 'coping saw']"
removing the peel from fruits and vegetables,skin,adz,"['reamer', 'die', 'sofa', 'plunger']"
removing unhealthy plant parts,skin,kitchen knife,"['saw set', 'food bag', 'pallet', 'bore bit']"
opening packages,slit,blade,"['star drill', 'power tool', 'hack', 'putty knife']"
creating ventilation,slit,knife blade,"['trowel', 'barong', 'electric hammer', 'countertop']"
cutting open food objects,slit,blade,"['pen', 'alarmclock', 'armchair', 'broadax']"
sanding surfaces,smoothen,steel wool pad,"['screw wrench', 'lochaber ax', 'thinning shear', 'pot']"
ironing clothes,smoothen,abrading stone,"['dogbed', 'coal shovel', 'wood chisel', 'twist bit']"
polishing furniture,smoothen,abrader,"['bur', 'chain tong', 'blunt file', 'book']"
repairing electronics,solder,soldering iron,"['rasp', 'keyboard', 'instant noodle', 'spokeshave']"
making jewelery,solder,soldering iron,"['instant noodle', 'kitchen knife', 'bath tub basin', 'crosscut saw']"
fixing plumbing,solder,soldering iron,"['spray bottle', 'bread knife', 'garden tool', 'spade bit']"
applying spreads on bread,spread,palette knife,"['hunting knife', 'chain saw', 'abrader', 'counterbore']"
spreading icing on a cake,spread,pointing trowel,"['pestle', 'stamp', 'break seal', ""plumber's snake""]"
distributing cleaning products,spread,tableknife,"['laptop', 'hook wrench', 'fork', 'pump type plier']"
organizing documents,staple,stapler,"['khukurus', 'dado plane', 'crank', 'gouge']"
repairing books,staple,stapler,"['carriage wrench', 'lancet', 'glue stick', 'scauper']"
removing dirt from your teeth,stick,toothpick,"['power tool', 'pencil', 'hand shovel', 'showerdoor']"
storing fruits and vegetables,store,box,"['razorblade', 'metal box', 'spreader', 'winebottle']"
storing clean utensils,store,desk,"['paper cutter', ""croupier's rake"", 'dumbbell', 'palette knife']"
packing books for house shifting,store,dresser,"['handstamp', 'thinning shear', 'claw hatchet', 'axe']"
keeping sporting equipment,store,box,"['straight razor', 'showercurtain', 'circular saw', 'ottoman']"
storing important documents,store,dresser,"['ottoman', 'clasp knife', 'trench knife', 'book']"
storing cereal box,store,box,"['food cup', 'toiletpaperhanger', 'dumbbell', 'die']"
keeping dirty clothes,store,dresser,"[""bricklayer's hammer"", 'hand tool', 'cap', 'shovel']"
storing dog treats,store,desk,"['clipper', 'tennisracket', 'hand drill', 'sidetable']"
organizing items,store,shelving unit,"['portable saw', 'dirk', 'soapbar', 'backsaw']"
removing isolation from wires,strip,wire stripper,"['pruning saw', 'garden tool', 'food bag', 'alligator wrench']"
supporting a laptop,support,footstool,"['round file', 'die', 'socket wrench', 'neolith']"
displaying a statue,support,side table,"['painting', 'bayonet', 'battle ax', 'wateringcan']"
eating dinner,support,stool,"['jigsaw', 'compass saw', 'spade bit', 'bed']"
packing soil,tamp,stemmer,"['scrubbrush', 'creditcard', 'countertop', 'scraper']"
preparing coffee in a filter,tamp,tamp,"['rat tail file', 'pincer', 'remote control', 'circular saw']"
setting tiles,tamp,stemmer,"['crank handle', 'bolt cutter', 'adjustable wrench', 'crosscut saw']"
telling the time,time,cell phone,"['plastic box', 'die', 'bevel', 'stiletto']"
managing schedules,time,watch,"['tennisracket', 'egg', 'dumbbell', 'portable saw']"
clearing the drain,unclog,trap and drain auger,"['cigar cutter', 'paper box', 'pruning knife', 'food jar']"
fixing a toilet,unclog,trap and drain auger,"['folding saw', 'spraybottle', 'burr', 'expansion bit']"
cleaning pipes,unclog,plunger,"['cd', 'spoon', 'keyhole saw', 'watering can']"
washing dishes,wash,keyhole saw,"['bit', 'shaver', 'side table', 'dumbbell']"
washing a fruit before cutting,wash,bandsaw,"['hammer', 'sparkplug wrench', 'posthole digger', 'shiv']"
washing your face,wash,compass saw,"['parang', 'paper cutter', 'firmer chisel', 'circular saw']"
doing laundry,wash,compass saw,"['burin', 'showercurtain', 'monkey wrench', 'pin wrench']"
cleaning dishes,wash,stamping machine,"['footstool', 'ball', 'jack', 'plexor.n.wn.medicine']"
cleaning a surface,wipe,butter knife,"['stoveburner', 'nailfile', 'sofa', 'dog bed']"
removing stains,wipe,butter knife,"['bradawl', 'slouse', 'hatchet', 'stool']"
wiping a surface clean,wipe,case knife,"['sandblaster', 'trowel', 'shelvingunit', 'jackscrew']"
storing food,wrap,ball,"['dry battery', 'parer', 'pallet', 'awl']"
protecting items,wrap,water bottle,"['garbage can', 'two handed saw', 'stillson wrench', 'trepan']"
tightening bolts,wrench,alligator wrench,"['beading plane', 'burr', 'wire stripper', 'hand mower']"
loosening bolts,wrench,brace wrench,"['crank', 'spade bit', 'circular saw', 'television']"
adjusting fixtures,wrench,monkey wrench,"['stiletto', 'surgical knife', 'box wrench', 'bathtubbasin']"
changing bicycle components,wrench,box wrench,"['palette knife', 'paper box', 'glass cutter', 'pin wrench']"
making a shopping list,write,desktop,"['spud', 'alarmclock', 'candle', 'dog wrench']"
keeping a journal,write,pencil,"['cross bit', 'scoop', 'pipe wrench', 'saltshaker']"
labelling items,write,pencil,"['garden tool', ""carpenter's mallet"", 'garbagebag', 'coffee machine']"
writing a letter,write,laptop,"['toilet paper', 'spade', 'can opener', 'soda can']"
