Task,Mobile?,Arms,DoFs,Gripper Config,Rigid Gripper?,Can execute?
cut a head of cabbage then chill a slice before putting it in the sink,False,1,1,No specified Gripper,True,False
cut a heated apple place apple behind knife in fridge,False,1,6,No specified Gripper,False,True
cut a heated apple place apple behind knife in fridge,False,1,1,No specified Gripper,True,False
cut a potato in a tray,False,1,6,No specified Gripper,False,True
cut a potato in a tray,False,1,1,No specified Gripper,True,False
"cut a slice of a vegetable, put the slice on a counter.",False,1,6,No specified Gripper,False,True
"cut a slice of a vegetable, put the slice on a counter.",False,1,1,No specified Gripper,True,False
cut an apple slice to place it inside a sauce pan inside the fridge,False,1,6,No specified Gripper,False,True
cut an apple slice to place it inside a sauce pan inside the fridge,False,1,1,No specified Gripper,True,False
"cut an apple, cook a piece of the apple",False,1,6,No specified Gripper,False,True
"cut an apple, cook a piece of the apple",False,1,1,No specified Gripper,True,False
"cut an apple, cool a piece of apple",False,1,6,No specified Gripper,False,True
"cut an apple, cool a piece of apple",False,1,1,No specified Gripper,True,False
cut and cook an apple piece to be put on a table,False,1,6,No specified Gripper,False,True
cut and cook an apple piece to be put on a table,False,1,1,No specified Gripper,True,False
cut bread,True,2,6,No specified Gripper,False,True
cut bread,False,1,1,No specified Gripper,True,False
cutting and preparing some bread and putting it on a table,False,1,6,No specified Gripper,False,True
cutting and preparing some bread and putting it on a table,False,1,1,No specified Gripper,True,False
decorate it,True,2,6,No specified Gripper,False,True
decorate it,False,1,1,No specified Gripper,True,False
detach an orange disc from the wooden rack and put it on the table,False,1,7,Robot Grippers with 2 Fingers,True,True
detach an orange disc from the wooden rack and put it on the table,False,1,1,No specified Gripper,True,False
detach the red lego from the stack of lego's and put it on the table,False,1,7,Robot Grippers with 2 Fingers,True,True
detach the red lego from the stack of lego's and put it on the table,False,1,1,No specified Gripper,True,False
dismantle the vacuum head,False,1,7,Robot Grippers with 2 Fingers,True,True
dismantle the vacuum head,False,1,1,No specified Gripper,True,False
do work on computer,True,2,6,No specified Gripper,False,True
do work on computer,False,1,1,No specified Gripper,True,False
drag the cloth from one edge of the table to the other,False,1,7,Robot Grippers with 2 Fingers,True,True
drag the cloth from one edge of the table to the other,False,1,1,No specified Gripper,True,False
drag the thing across the table,False,1,7,Robot Grippers with 2 Fingers,True,True
drag the thing across the table,False,1,1,No specified Gripper,True,False
draw the curtain closed,False,1,6,No specified Gripper,True,True
draw the curtain closed,False,1,1,No specified Gripper,True,False
drink,True,2,6,No specified Gripper,False,True
drink,False,1,1,No specified Gripper,True,False
drop a carton with a remote in it on the chair,False,1,6,No specified Gripper,True,True
drop a carton with a remote in it on the chair,False,1,1,No specified Gripper,True,False
drop a clean glass cup on the shelf,False,1,6,No specified Gripper,True,True
drop a clean glass cup on the shelf,False,1,1,No specified Gripper,True,False
drop a container on the cupboard,False,1,6,No specified Gripper,True,True
drop a container on the cupboard,False,1,1,No specified Gripper,True,False
drop a paper box on the table,False,1,6,No specified Gripper,True,True
drop a paper box on the table,False,1,1,No specified Gripper,True,False
drop a plate on the shelf with a knife with a slice of lettuce on it,False,1,6,No specified Gripper,False,True
drop a plate on the shelf with a knife with a slice of lettuce on it,False,1,1,No specified Gripper,True,False
drop a plate with a knife in it by the side of the oven,False,1,6,No specified Gripper,True,True
drop a plate with a knife in it by the side of the oven,False,1,1,No specified Gripper,True,False
drop a plate with a phone inside on the television stand,False,1,6,No specified Gripper,False,True
drop a plate with a phone inside on the television stand,False,1,1,No specified Gripper,True,False
drop a plunger inside a cupboard,False,1,6,No specified Gripper,False,True
drop a plunger inside a cupboard,False,1,1,No specified Gripper,True,False
drop a tomato slice with a knife inside a pan,False,1,6,No specified Gripper,False,True
drop a tomato slice with a knife inside a pan,False,1,1,No specified Gripper,True,False
drop the cloth onto the table,False,1,6,No specified Gripper,True,True
drop the cloth onto the table,False,1,1,No specified Gripper,True,False
drop the coat onto the seat of the chair,False,1,7,Robot Grippers with 2 Fingers,True,True
drop the coat onto the seat of the chair,False,1,1,No specified Gripper,True,False
drop the paper bottle,False,1,7,Robot Grippers with 2 Fingers,True,True
drop the paper bottle,False,1,1,No specified Gripper,True,False
drop two bunch of keys on the cupboard,False,1,6,No specified Gripper,False,True
drop two bunch of keys on the cupboard,False,1,1,No specified Gripper,True,False
drop two cards on the chair,False,1,6,No specified Gripper,False,True
drop two cards on the chair,False,1,1,No specified Gripper,True,False
drop two pens on the shelf,False,1,6,No specified Gripper,True,True
drop two pens on the shelf,False,1,1,No specified Gripper,True,False
drop two towels in the sink,False,0,6,No specified Gripper,False,True
drop two towels in the sink,False,1,1,No specified Gripper,True,False
dry the glass  and put it in the cabinet,False,1,6,No specified Gripper,False,True
dry the glass  and put it in the cabinet,False,1,1,No specified Gripper,True,False
dust the armrest with the towel,False,1,7,Robot Grippers with 2 Fingers,True,True
dust the armrest with the towel,False,1,1,No specified Gripper,True,False
eat cereal,True,2,6,No specified Gripper,False,True
eat cereal,False,1,1,No specified Gripper,True,False
eat dinner,True,2,6,No specified Gripper,False,True
eat dinner,False,1,1,No specified Gripper,True,False
eat family meals,True,2,6,No specified Gripper,False,True
eat family meals,False,1,1,No specified Gripper,True,False
empty the basket onto the counter,False,1,7,Robot Grippers with 2 Fingers,True,True
empty the basket onto the counter,False,1,1,No specified Gripper,True,False
empty the contents of the cup in the sink,False,1,6,No specified Gripper,True,True
empty the contents of the cup in the sink,False,1,1,No specified Gripper,True,False
empty the contents of the snack packet into the white bowl,False,1,7,Robot Grippers with 2 Fingers,True,True
empty the contents of the snack packet into the white bowl,False,1,1,No specified Gripper,True,False
empty the cup into the pot,False,1,6,No specified Gripper,True,True
empty the cup into the pot,False,1,1,No specified Gripper,True,False
examine a basketball by the light of a desk lamp.,False,1,6,No specified Gripper,False,True
examine a basketball by the light of a desk lamp.,False,1,1,No specified Gripper,True,False
examine a bowl by the light of a desk lamp.,False,1,6,No specified Gripper,False,True
examine a bowl by the light of a desk lamp.,False,1,1,No specified Gripper,True,False
examine a candle by the light of a floor lamp.,False,1,6,No specified Gripper,False,True
examine a candle by the light of a floor lamp.,False,1,1,No specified Gripper,True,False
examine a cd by the light of a lamp,False,1,6,No specified Gripper,False,True
examine a cd by the light of a lamp,False,1,1,No specified Gripper,True,False
examine a coffee mug under a lamp.,False,1,6,No specified Gripper,False,True
examine a coffee mug under a lamp.,False,1,1,No specified Gripper,True,False
examine a credit card in the light.,False,1,6,No specified Gripper,False,True
examine a credit card in the light.,False,1,1,No specified Gripper,True,False
examine a disk in the light of a small lamp.,False,1,6,No specified Gripper,False,True
examine a disk in the light of a small lamp.,False,1,1,No specified Gripper,True,False
examine a newspaper in the light of a large abstract lamp.,False,1,6,No specified Gripper,False,True
examine a newspaper in the light of a large abstract lamp.,False,1,1,No specified Gripper,True,False
examine a notebook computer by the light of a lamp,False,0,6,No specified Gripper,False,True
examine a notebook computer by the light of a lamp,False,1,1,No specified Gripper,True,False
examine a pen by the light of a tall lamp.,False,0,6,No specified Gripper,False,True
examine a pen by the light of a tall lamp.,False,1,1,No specified Gripper,True,False
examine a pencil by the light of a desk lamp.,False,1,6,No specified Gripper,False,True
examine a pencil by the light of a desk lamp.,False,1,1,No specified Gripper,True,False
examine a phone by the light of a lamp on a shelf.,False,0,6,No specified Gripper,False,True
examine a phone by the light of a lamp on a shelf.,False,1,1,No specified Gripper,True,False
examine a phone with a lamp,False,0,6,No specified Gripper,False,True
examine a phone with a lamp,False,1,1,No specified Gripper,True,False
examine a plate by the light of the tall lamp,False,1,6,No specified Gripper,False,True
examine a plate by the light of the tall lamp,False,1,1,No specified Gripper,True,False
examine a remote control by the light of a tall lamp.,False,0,6,No specified Gripper,False,True
examine a remote control by the light of a tall lamp.,False,1,1,No specified Gripper,True,False
examine a set of keys in the light of a lamp,False,0,6,No specified Gripper,False,True
examine a set of keys in the light of a lamp,False,1,1,No specified Gripper,True,False
examine a tea kettle using the light from a table lamp.,False,0,6,No specified Gripper,False,True
examine a tea kettle using the light from a table lamp.,False,1,1,No specified Gripper,True,False
examine a tea pot by the light of a lamp,False,1,6,No specified Gripper,False,True
examine a tea pot by the light of a lamp,False,1,1,No specified Gripper,True,False
examine a trophy under a tall lamp,False,0,6,No specified Gripper,False,True
examine a trophy under a tall lamp,False,1,1,No specified Gripper,True,False
examine a watch by the light of a floor lamp.,True,1,6,No specified Gripper,False,True
examine a watch by the light of a floor lamp.,False,1,1,No specified Gripper,True,False
